Parameter, ListInsert, ListSearch, OrderedInsert, OrderedMin, OrderedSearch, OrderedSort, SetInsert
"coarse, Ex., Strict",2400,1418,10608,2871,10824,10169,23366
"coarse, Ex., Def.",2400,1418,9652,2871,20172,14043,35884
"coarse, Ex., None",2400,1418,14347,2871,20160,12687,54907
"coarse, L.S., Strict",2400,1418,10608,2871,10824,10169,21047
"coarse, L.S., Default",2400,1418,9430,2871,20172,13835,24688
"coarse, L.S., None",2400,1418,13802,2871,20160,12687,28501
"coarse, Complete",2400,1418,4504,2871,10149,10047,16114
"coarse, Product",9600,2836,9010,5742,20298,20094,16114
"fine, Ex., Strict",2211,1321,11210,2501,16984,6500,12901
"fine, Ex., Def.",2211,1321,10299,2501,16971,6420,14695
"fine, Ex., None",2211,1321,10881,2501,16836,7115,23005
"fine, L.S., Strict",2211,1321,11210,2501,16984,6500,12301
"fine, L.S., Default",2211,1321,10251,2501,16971,6420,13173
"fine, L.S., None",2211,1321,11116,2501,16836,7115,20053
"fine, Complete",2211,1321,2018,2501,16531,6613,9336
"fine, Product",8844,2642,4036,5002,33062,13226,9336
